protein	fragments	Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9	Sample10
A	a1	0.28	0.409	0.11	0.88	1.03	1.06	1.34	1.14	1.38	1.11
A	a2	0.68	0.172	0.38	0.84	0.30	0.62	0.63	0.40	0.58	0.61
A	a3	1.24	1.749	2.43	0.83	0.62	0.61	0.41	0.26	0.78	0.46
A	a4	0.85	0.358	0.50	0.99	1.00	0.99	1.05	0.90	1.12	1.39
B	b1	0.49	0.142	0.14	0.89	1.03	1.01	1.29	1.36	1.01	1.45
C	c1	0.27	0.159	0.25	1.02	1.00	0.97	1.16	1.25	1.28	1.36
C	c2	0.39	0.244	0.25	0.29	0.29	0.32	0.45	0.43	0.43	0.38
D	d1	0.16	0.095	0.11	0.78	0.58	1.02	1.08	1.10	1.24	1.38
D	d2	1.68	0.668	0.17	0.80	0.67	1.18	0.73	0.96	1.20	0.74
D	d3	0.30	0.572	0.24	1.16	1.17	1.41	1.09	1.08	1.48	1.04
